ca.rmen.android.scrumchatter - Installs by user by Android Version for 2013-06-29 - 2019-02-24
,,Metric,Installs by user,Notes
,,Dimension,All Android versions
Period,Date
2013-06-29 - 2019-02-24,2014-09-27,,1
2013-06-29 - 2019-02-24,2014-09-28,,2
2013-06-29 - 2019-02-24,2014-09-29,,-
2013-06-29 - 2019-02-24,2014-09-30,,-
2013-06-29 - 2019-02-24,2014-10-01,,2
2013-06-29 - 2019-02-24,2014-10-02,,1
2013-06-29 - 2019-02-24,2014-10-03,,1
2013-06-29 - 2019-02-24,2014-10-04,,4
2013-06-29 - 2019-02-24,2014-10-05,,2
2013-06-29 - 2019-02-24,2014-10-06,,1
2013-06-29 - 2019-02-24,2014-10-07,,2
2013-06-29 - 2019-02-24,2014-10-08,,-
2013-06-29 - 2019-02-24,2014-10-09,,1
2013-06-29 - 2019-02-24,2014-10-10,,1
2013-06-29 - 2019-02-24,2014-10-11,,-
2013-06-29 - 2019-02-24,2014-10-12,,2
2013-06-29 - 2019-02-24,2014-10-13,,-
2013-06-29 - 2019-02-24,2014-10-14,,1
2013-06-29 - 2019-02-24,2014-10-15,,1
2013-06-29 - 2019-02-24,2014-10-16,,5
2013-06-29 - 2019-02-24,2014-10-17,,-
2013-06-29 - 2019-02-24,2014-10-18,,1
2013-06-29 - 2019-02-24,2014-10-19,,1
2013-06-29 - 2019-02-24,2014-10-20,,1
2013-06-29 - 2019-02-24,2014-10-21,,1
2013-06-29 - 2019-02-24,2014-10-22,,-
2013-06-29 - 2019-02-24,2014-10-23,,1
2013-06-29 - 2019-02-24,2014-10-24,,-
2013-06-29 - 2019-02-24,2014-10-25,,-
2013-06-29 - 2019-02-24,2014-10-26,,1
2013-06-29 - 2019-02-24,2014-10-27,,-
2013-06-29 - 2019-02-24,2014-10-28,,-
2013-06-29 - 2019-02-24,2014-10-29,,-
2013-06-29 - 2019-02-24,2014-10-30,,2
2013-06-29 - 2019-02-24,2014-10-31,,-
2013-06-29 - 2019-02-24,2014-11-01,,-
2013-06-29 - 2019-02-24,2014-11-02,,-
2013-06-29 - 2019-02-24,2014-11-03,,-
2013-06-29 - 2019-02-24,2014-11-04,,-
2013-06-29 - 2019-02-24,2014-11-05,,1
2013-06-29 - 2019-02-24,2014-11-06,,-
2013-06-29 - 2019-02-24,2014-11-07,,-
2013-06-29 - 2019-02-24,2014-11-08,,2
2013-06-29 - 2019-02-24,2014-11-09,,-
2013-06-29 - 2019-02-24,2014-11-10,,1
2013-06-29 - 2019-02-24,2014-11-11,,1
2013-06-29 - 2019-02-24,2014-11-12,,-
2013-06-29 - 2019-02-24,2014-11-13,,-
2013-06-29 - 2019-02-24,2014-11-14,,1
2013-06-29 - 2019-02-24,2014-11-15,,-
2013-06-29 - 2019-02-24,2014-11-16,,1
2013-06-29 - 2019-02-24,2014-11-17,,-
2013-06-29 - 2019-02-24,2014-11-18,,2
2013-06-29 - 2019-02-24,2014-11-19,,2
2013-06-29 - 2019-02-24,2014-11-20,,2
2013-06-29 - 2019-02-24,2014-11-21,,1
2013-06-29 - 2019-02-24,2014-11-22,,1
2013-06-29 - 2019-02-24,2014-11-23,,-
2013-06-29 - 2019-02-24,2014-11-24,,-
2013-06-29 - 2019-02-24,2014-11-25,,-
2013-06-29 - 2019-02-24,2014-11-26,,1
2013-06-29 - 2019-02-24,2014-11-27,,1
2013-06-29 - 2019-02-24,2014-11-28,,-
2013-06-29 - 2019-02-24,2014-11-29,,-
2013-06-29 - 2019-02-24,2014-11-30,,-
2013-06-29 - 2019-02-24,2014-12-01,,2
2013-06-29 - 2019-02-24,2014-12-02,,-
2013-06-29 - 2019-02-24,2014-12-03,,2
